"KabupatenKota","A","B","C","D","E","F","G"
"Kabupaten Cilacap","419429","191","10.99","8.74","88.75","80.38","1055001"
"Kabupaten Banyumas","479027","216.5","12.53","6.35","93.57","83","1446749"
"Kabupaten Purbalingga","439208","143.41","14.99","5.61","82.82","77.19","642543"
"Kabupaten Banjarnegara","380046","138.99","14.9","6.26","87.56","46.09","520861"
"Kabupaten Kebumen","451678","195.45","16.34","5.11","87.34","93.68","693545"
"Kabupaten Purworejo","427622","81.28","11.33","4.02","91.26","81.43","380155"
"Kabupaten Wonosobo","425105","123.7","15.58","4.95","94.61","58.14","383754"
"Kabupaten Magelang","411129","144.49","10.96","4.42","97.5","85.14","792954"
"Kabupaten Boyolali","420339","97.48","9.81","4.05","94.36","89.31","345929"
"Kabupaten Klaten","488102","144.43","12.28","4.2","99.52","97.16","672843"
"Kabupaten Sukoharjo","476675","68.79","7.58","3.4","99.71","95.68","370580"
"Kabupaten Wonogiri","414901","104.82","10.94","1.92","96.57","96.12","508350"
"Kabupaten Karanganyar","465703","88.64","9.79","4.35","98.48","97.03","372710"
"Kabupaten Sragen","426482","114.62","12.87","3.87","98.14","95.3","371918"
"Kabupaten Grobogan","464614","162.52","11.72","4.02","82.18","90.49","918764"
"Kabupaten Blora","425135","99.61","11.49","3.1","93.54","90.72","470563"
"Kabupaten Rembang","477514","91.97","14.17","2.6","95.34","95.44","387495"
"Kabupaten Pati","532545","118.18","9.31","4.29","95.92","95.8","732720"
"Kabupaten Kudus","520830","65.16","7.24","3.25","94.62","92.12","283497"
"Kabupaten Jepara","479131","86.75","6.61","3.35","83.79","70.49","474413"
"Kabupaten Demak","511145","143.26","12.01","5.38","92.26","93.6","821872"
"Kabupaten Semarang","498952","78.35","7.17","4.05","95.84","85.5","377683"
"Kabupaten Temanggung","388369","72.96","9.26","2.32","97.8","69.89","456684"
"Kabupaten Kendal","465936","92.64","9.39","5.76","96.78","78.33","306358"
"Kabupaten Batang","378858","69.97","8.92","6.06","96.79","61.7","354192"
"Kabupaten Pekalongan","480934","87.93","9.67","3.25","95.65","83.47","455399"
"Kabupaten Pemalang","467204","195.57","15.03","6.55","97.68","80.73","792906"
"Kabupaten Tegal","470728","105.03","7.3","8.6","98.17","85.87","654130"
"Kabupaten Brebes","513339","286.14","15.78","8.98","88.78","82.8","1186386"
"Kota Magelang","602794","7.45","6.11","5.25","100","84.93","46887"
"Kota Surakarta","600953","43.89","8.44","4.58","99.16","89.97","230179"
"Kota Salatiga","565031","9.41","4.66","4.57","98.71","98.15","46113"
"Kota Semarang","642456","80.53","4.23","5.99","99.88","95.31","231228"
"Kota Pekalongan","565998","21.36","6.81","5.02","98.88","90.69","139173"
"Kota Tegal","623617","19.22","7.68","6.05","100","94.12","98552"
