"KabupatenKota","A","A1","A2","A3","A4","B","B1","B2","B3","B4","C","C1","C2","C3","C4","D","D1","D2","D3","D4","E","E1","E2","E3","E4","F","F1","F2","F3","F4","G","G1","G2","G3","H","H1","H2","H3","I","I1","I2","I3","J","J1","J2","J3","K","K1","K2"
"Kabupaten Cilacap","351735","363367","384955","419429","441093","198.6","201.71","190.96","191","186.08","11.46","11.67","11.02","10.99","10.68","9.1","9.97","9.62","8.74","7.83","0.95","1.48","1.47","1.54","1.59","0.13","0.3","0.33","0.35","0.35","80.85","76.42","79.1","80.38","93.02","93.37","90.56","88.75","24.67","31.08","34.57","32.21","17.78","18.46","19.05","19.19","92.13","96.55","92.72"
"Kabupaten Banyumas","406250","417086","441520","479027","500861","225.84","232.91","220.47","216.5","207.78","13.26","13.66","12.84","12.53","11.95","6","6.05","6.05","6.35","6.18","2.25","2.35","1.75","1.78","2.09","0.5","0.57","0.35","0.41","0.5","75.24","79.97","79.8","83","92.8","91.49","90.03","93.57","31.59","40.52","48.51","44.2","23.06","21.67","26.04","24.25","89.59","92.28","93.38"
"Kabupaten Purbalingga","375199","384183","407849","439208","460870","149.48","153.08","145.33","143.41","136.72","15.9","16.24","15.3","14.99","14.18","6.1","6.05","5.23","5.61","4.96","2.32","2.1","2.08","2.52","2.1","0.43","0.41","0.48","0.58","0.5","81.24","76.33","78.56","77.19","94.51","85.18","88.61","82.82","31.55","37.35","45.06","43.21","20.19","26.74","28.72","27.79","93.45","95.73","95.5"
"Kabupaten Banjarnegara","318334","328679","351333","380046","398344","144.95","150.19","141.25","138.99","137.68","15.64","16.23","15.2","14.9","14.71","5.86","5.86","6.38","6.26","5.57","2.47","2.97","2.34","2.34","2.38","0.51","0.79","0.48","0.56","0.61","46.25","40.75","51.66","46.09","85.54","82.61","89.21","87.56","23.87","29.35","30.23","27.67","17.28","21.39","27.54","23.61","92.87","95.1","95.55"
"Kabupaten Kebumen","380557","390599","416004","451678","471824","211.09","212.92","196.16","195.45","187.95","17.59","17.83","16.41","16.34","15.71","6.07","6.03","5.92","5.11","5.07","2.62","3.24","3.41","2.89","2.35","0.55","0.88","1.02","0.75","0.48","91.95","88.99","93.49","93.68","88.16","86.36","87.38","87.34","31.4","37.61","38.19","33.76","19.72","21.77","22.46","19.03","94.47","94.47","94.98"
"Kabupaten Purworejo","364289","376127","393731","427622","459253","84.79","88.8","82.64","81.28","78.02","11.78","12.4","11.53","11.33","10.87","4.04","3.59","4.45","4.02","3.89","0.98","1.36","1.31","1.78","1.08","0.12","0.28","0.24","0.43","0.18","83.79","79.81","80.21","81.43","86.82","85.99","89.1","91.26","23.25","24.93","24.99","22.2","14.96","15.77","13.4","15.82","87.17","89.13","89.27"
"Kabupaten Wonosobo","362683","373474","399180","425105","456351","137.63","139.67","128.11","123.7","121.49","17.36","17.67","16.17","15.58","15.28","5.37","5.26","5.01","4.95","4.02","2.42","2.75","3.18","2.6","2.41","0.47","0.65","0.86","0.63","0.6","48.18","53.27","55.3","58.14","97.74","95.64","90.28","94.61","33.81","37.9","34.67","25.07","19.28","20.49","23.22","23.78","94.72","97.83","96.01"
"Kabupaten Magelang","342430","353608","377497","411129","431289","146.34","154.91","145.33","144.49","143.8","11.27","11.91","11.09","10.96","10.83","4.27","5.03","4.97","4.42","3.55","1.23","1.63","1.66","1.73","1.23","0.2","0.35","0.41","0.41","0.23","76.91","78.4","80.49","85.14","90.51","94.14","94.65","97.5","24.49","36.7","36.92","32.04","17.75","22.62","27.09","27.98","92.98","93.82","93.7"
"Kabupaten Boyolali","347520","361922","383030","420339","442071","100.59","104.82","97.18","97.48","95.96","10.18","10.62","9.82","9.81","9.63","5.28","5.09","4.92","4.05","3.16","1.3","1.76","1.13","1.02","1.56","0.23","0.38","0.2","0.18","0.4","92.65","87.72","92.4","89.31","95.08","93.42","96.36","94.36","17.54","22.18","14.6","13.4","9.97","17.81","22.25","18.38","94.04","95.19","93.58"
"Kabupaten Klaten","419510","436896","458872","488102","505826","151.83","158.23","144.87","144.43","141.84","12.89","13.49","12.33","12.28","12.04","5.46","5.48","4.31","4.2","3.97","1.66","1.79","1.86","1.7","1.46","0.31","0.38","0.44","0.38","0.27","94.68","95.37","95","97.16","97.83","97.84","97.97","99.52","25.15","28.41","22.96","18.99","17.26","19.06","18.06","17.18","84.69","88.39","89.48"
"Kabupaten Sukoharjo","393776","410273","434318","476675","501693","68.89","73.84","68.72","68.79","68.15","7.68","8.23","7.61","7.58","7.47","6.93","3.32","2.47","3.4","3.65","0.97","0.91","0.87","1.17","1.21","0.2","0.21","0.14","0.31","0.3","96.64","94.27","96.14","95.68","99.27","98.01","99.45","99.71","15.12","17.94","16.94","13.32","10.38","10.58","13","16.19","77.59","81.52","84.44"
"Kabupaten Wonogiri","341643","356728","376763","414901","443563","104.37","110.46","105.19","104.82","102.57","10.86","11.55","10.99","10.94","10.71","4.27","2.43","1.95","1.92","2.4","1.08","1.57","1.33","1.32","1.53","0.18","0.34","0.29","0.25","0.33","94.47","92.97","94.62","96.12","96.84","98.82","94.67","96.57","27.29","23.99","26","26.48","14.39","13.93","19.03","21.49","97.42","95.89","95.71"
"Kabupaten Karanganyar","385563","401542","424677","465703","491551","91.72","95.41","88.56","88.64","87.37","10.28","10.68","9.85","9.79","9.59","5.96","5.89","5.7","4.35","3.47","1.56","1.61","1.64","1.22","1.63","0.33","0.37","0.37","0.24","0.41","96.7","95.38","96.32","97.03","98.53","98.65","98.18","98.48","19.86","25.11","24.34","15.49","13.53","14.07","13.64","14.48","91.67","90.48","91.15"
"Kabupaten Sragen","348890","363349","389265","426482","453663","119.38","122.91","115.14","114.62","110.65","13.38","13.83","12.94","12.87","12.41","4.75","4.76","4.69","3.87","3.53","2.17","2.39","2.07","2.15","2.42","0.53","0.6","0.47","0.54","0.67","93.27","89.89","93.08","95.3","98.15","98.33","96.85","98.14","22.77","20.6","20.36","11.72","12.38","16.38","18.37","18.44","92.29","93.53","94.23"
"Kabupaten Grobogan","395001","404456","428597","464614","489208","172.26","175.72","163.2","162.52","159","12.46","12.74","11.8","11.72","11.43","4.5","4.38","4.4","4.02","3.23","1.17","1.66","1.95","1.48","1.9","0.18","0.37","0.45","0.28","0.43","87.39","89.37","87.93","90.49","81.6","76.14","81.85","82.18","23.12","33.63","34.66","25.56","13.3","15.23","20.96","20.25","96.2","96.14","95.32"
